what,kind,bundleId,bundleVersion,description,time
error,log,,,"Core exception while retrieving the content description",1449149889634
started,bundle,org.eclipse.pde.core,3.7.1.v20120103_r372,"org.eclipse.pde.core",1449149889911
error,log,,,"Core exception while retrieving the content description",1449149896381
error,log,,,"Core exception while retrieving the content description",1449149896384
error,log,,,"Core exception while retrieving the content description",1449149896387
error,log,,,"Core exception while retrieving the content description",1449149896389
error,log,,,"Core exception while retrieving the content description",1449149896392
error,log,,,"Core exception while retrieving the content description",1449149896395
error,log,,,"Core exception while retrieving the content description",1449149896399
error,log,,,"Core exception while retrieving the content description",1449149896403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449149896718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449149899670
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1449149899699
error,log,,,"Core exception while retrieving the content description",1449149926000
error,log,,,"Core exception while retrieving the content description",1449149926003
error,log,,,"Core exception while retrieving the content description",1449149926006
error,log,,,"Core exception while retrieving the content description",1449149926009
error,log,,,"Core exception while retrieving the content description",1449149926012
error,log,,,"Core exception while retrieving the content description",1449149926015
error,log,,,"Core exception while retrieving the content description",1449149926017
error,log,,,"Core exception while retrieving the content description",1449149926020
error,log,,,"Core exception while retrieving the content description",1449149926027
error,log,,,"Core exception while retrieving the content description",1449149926035
error,log,,,"Core exception while retrieving the content description",1449149928009
error,log,,,"Core exception while retrieving the content description",1449149928012
error,log,,,"Core exception while retrieving the content description",1449149928015
error,log,,,"Core exception while retrieving the content description",1449149928017
error,log,,,"Core exception while retrieving the content description",1449149928024
error,log,,,"Core exception while retrieving the content description",1449149928027
error,log,,,"Core exception while retrieving the content description",1449149928030
error,log,,,"Core exception while retrieving the content description",1449149928032
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449149928148
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1449149932007
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449149939165
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1449149939199
error,log,,,"Core exception while retrieving the content description",1449149939628
error,log,,,"Core exception while retrieving the content description",1449149939631
error,log,,,"Core exception while retrieving the content description",1449149939633
error,log,,,"Core exception while retrieving the content description",1449149939636
error,log,,,"Core exception while retrieving the content description",1449149939642
error,log,,,"Core exception while retrieving the content description",1449149939644
error,log,,,"Core exception while retrieving the content description",1449149939646
error,log,,,"Core exception while retrieving the content description",1449149939648
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1449149939693
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1449149939743
error,log,,,"Core exception while retrieving the content description",1449149939803
error,log,,,"Core exception while retrieving the content description",1449149939806
error,log,,,"Core exception while retrieving the content description",1449149939809
error,log,,,"Core exception while retrieving the content description",1449149939812
error,log,,,"Core exception while retrieving the content description",1449149939819
error,log,,,"Core exception while retrieving the content description",1449149939822
error,log,,,"Core exception while retrieving the content description",1449149939825
error,log,,,"Core exception while retrieving the content description",1449149939827
error,log,,,"Core exception while retrieving the content description",1449149939836
error,log,,,"Core exception while retrieving the content description",1449149939838
error,log,,,"Core exception while retrieving the content description",1449149939840
error,log,,,"Core exception while retrieving the content description",1449149939843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449149940609
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1449149943100
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1449149943295
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1449149943373
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449150088079
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449150105573
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449150124515
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449150129919
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449150158555
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1449150158577
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1449150164218
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1449150164237
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449150164651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449150164778
