what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449152319702
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1449152325719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1449152327537
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449152328635
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1449152338098
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449152350006
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1449152350179
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152351999
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152371174
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1449152379929
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152385495
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152407191
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.properties",1449152407216
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152410843
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152412491
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.cleanAction",1449152412504
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152412836
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152412931
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1449152414722
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152422167
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152423975
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152428881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152428892
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152429760
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1449152429807
